"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,NA,NA,"12.94",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10.73",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Aduna",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.34",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Aia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.39",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.03",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,NA,NA,"6.95",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Alegia",NA,NA,NA,NA,NA,NA,NA,NA,NA,"5.86",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.25",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
"Alkiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,"8.33",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tiempo medio de desplazamiento al hospital de referencia (min.)"
