"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38.02","38.04","39.83","38.68","37.38","39.41","41.17",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Abaltzisketa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"68.33","75.86","79.66","70.83","65.04","84.87","69.75",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22.46","23.21","22.89","21.78","21.75","21.32","21.97",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Aduna",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"130.38","125.3","135.22","130.25","147.83","132.3","134.78",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Aia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.73","14.78","24.31","21.24","20.34","20.85","20.73",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Aizarnazabal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48.18","46.76","39.18","33.68","34.13","34.48","42.41",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Ajangiz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"94.3","120.53","131.22","123.28","138.83","126.6","146.81",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Albiztur",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"50.81","52.8","47.97","45.08","44","27.87","38.52",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Alegia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.88","17.01","16.41","17.39","18.05","18.93","19.22",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Alegría-Dulantzi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"20.57","18.44","19.34","19.3","19.14","19.27","20.39",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Alkiza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"15.32","16","15.38","15.04","15.79","14.29","16.67",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
"Alonsotegi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16.33","15.12","15.81","17.17","16.79","16.53","16.45",NA,"Tasa de afiliación a la Seguridad Social por municipio de trabajo"
