"name","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","indname_es"
"Abadiño",NA,NA,NA,"69.95",NA,NA,NA,NA,"72.62",NA,NA,NA,NA,"73.8",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Abaltzisketa",NA,NA,NA,"67.63",NA,NA,NA,NA,"69.31",NA,NA,NA,NA,"71.6",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Abanto y Ciérvana-Abanto Zierbena",NA,NA,NA,"69.19",NA,NA,NA,NA,"70.99",NA,NA,NA,NA,"67.2",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Aduna",NA,NA,NA,"60.87",NA,NA,NA,NA,"62.46",NA,NA,NA,NA,"66.1",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Aia",NA,NA,NA,"69.64",NA,NA,NA,NA,"70.42",NA,NA,NA,NA,"73.4",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Aizarnazabal",NA,NA,NA,"62.67",NA,NA,NA,NA,"67",NA,NA,NA,NA,"73.4",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Ajangiz",NA,NA,NA,"69.27",NA,NA,NA,NA,"69.47",NA,NA,NA,NA,"72.1",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Albiztur",NA,NA,NA,"57.9",NA,NA,NA,NA,"59.21",NA,NA,NA,NA,"71.8",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Alegia",NA,NA,NA,"58.13",NA,NA,NA,NA,"59.3",NA,NA,NA,NA,"59.9",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Alegría-Dulantzi",NA,NA,NA,"63.72",NA,NA,NA,NA,"71.09",NA,NA,NA,NA,"78.5",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Alkiza",NA,NA,NA,"67.55",NA,NA,NA,NA,"68.75",NA,NA,NA,NA,"69.3",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Alonsotegi",NA,NA,NA,"62.91",NA,NA,NA,NA,"67.36",NA,NA,NA,NA,"64.4",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Altzaga",NA,NA,NA,"71.11",NA,NA,NA,NA,"72.75",NA,NA,NA,NA,"68.8",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Altzo",NA,NA,NA,"61.29",NA,NA,NA,NA,"65.79",NA,NA,NA,NA,"66.5",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Amezketa",NA,NA,NA,"65.63",NA,NA,NA,NA,"67.85",NA,NA,NA,NA,"63.4",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Amorebieta-Etxano",NA,NA,NA,"72.47",NA,NA,NA,NA,"74.44",NA,NA,NA,NA,"75.7",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Amoroto",NA,NA,NA,"62.83",NA,NA,NA,NA,"63.23",NA,NA,NA,NA,"68.9",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Amurrio",NA,NA,NA,"71.23",NA,NA,NA,NA,"74.34",NA,NA,NA,NA,"73.6",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Andoain",NA,NA,NA,"74.69",NA,NA,NA,NA,"77.29",NA,NA,NA,NA,"71.4",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Anoeta",NA,NA,NA,"68.07",NA,NA,NA,NA,"69.92",NA,NA,NA,NA,"68.1",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Antzuola",NA,NA,NA,"69.14",NA,NA,NA,NA,"71.57",NA,NA,NA,NA,"71.9",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Arakaldo",NA,NA,NA,"56.45",NA,NA,NA,NA,"55.47",NA,NA,NA,NA,"59.4",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Arama",NA,NA,NA,"71.18",NA,NA,NA,NA,"70.79",NA,NA,NA,NA,"67.8",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Aramaio",NA,NA,NA,"68.19",NA,NA,NA,NA,"68.55",NA,NA,NA,NA,"68.9",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
"Arantzazu",NA,NA,NA,"56.26",NA,NA,NA,NA,"57.87",NA,NA,NA,NA,"68.5",NA,NA,NA,NA,NA,"Índice de confort de las viviendas familiares principales"
